location,week,mort
BE211,2023-W25,182
BE211,2023-W26,184
BE211,2023-W27,167
BE211,2023-W28,159
BE211,2023-W29,154
BE211,2023-W30,145
BE211,2023-W31,152
BE211,2023-W32,166
BE211,2023-W33,177
BE211,2023-W34,157
BE211,2023-W35,157
BE211,2023-W36,167
BE211,2023-W37,202
BE211,2023-W38,165
BE211,2023-W39,179
BE211,2023-W40,198
BE211,2023-W41,166
BE211,2023-W42,178
BE211,2023-W43,168
BE211,2023-W44,187
BE211,2023-W45,175
BE211,2023-W46,206
BE211,2023-W47,195
BE211,2023-W48,183
BE211,2023-W49,163
BE211,2023-W50,206
BE211,2023-W51,197
BE211,2023-W52,189
BE211,2024-W01,196
BE211,2024-W02,201
BE211,2024-W03,232
BE211,2024-W04,224
BE211,2024-W05,218
BE211,2024-W06,213
BE211,2024-W07,204
BE211,2024-W08,215
BE211,2024-W09,207
BE211,2024-W10,182
BE211,2024-W11,191
BE211,2024-W12,192
BE211,2024-W13,174
BE211,2024-W14,205
BE211,2024-W15,199
BE211,2024-W16,178
BE211,2024-W17,178
BE211,2024-W18,192
BE211,2024-W19,153
BE211,2024-W20,189
BE211,2024-W21,150
BE211,2024-W22,162
BE211,2024-W23,185
BE211,2024-W24,199
BE211,2024-W25,163
BE211,2024-W26,198
BE211,2024-W27,144
BE211,2024-W28,164
BE211,2024-W29,185
BE211,2024-W30,185
BE211,2024-W31,168
BE211,2024-W32,180
BE211,2024-W33,162
BE211,2024-W34,184
BE211,2024-W35,130
BE211,2024-W36,195
BE211,2024-W37,167
BE211,2024-W38,177
BE211,2024-W39,182
BE211,2024-W40,182
BE211,2024-W41,171
BE211,2024-W42,193
BE211,2024-W43,159
BE211,2024-W44,182
BE211,2024-W45,172
BE211,2024-W46,182
BE211,2024-W47,175
BE211,2024-W48,201
BE211,2024-W49,193
BE211,2024-W50,202
BE211,2024-W51,212
BE211,2024-W52,198
BE212,2022-W01,64
BE212,2022-W02,66
BE212,2022-W03,69
BE212,2022-W04,72
BE212,2022-W05,74
BE212,2022-W06,74
BE212,2022-W07,69
BE212,2022-W08,66
BE212,2022-W09,57
BE212,2022-W10,60
BE212,2022-W11,65
BE212,2022-W12,64
BE212,2022-W13,72
BE212,2022-W14,76
BE212,2022-W15,84
BE212,2022-W16,54
BE212,2022-W17,64
BE212,2022-W18,75
BE212,2022-W19,62
BE212,2022-W20,61
BE212,2022-W21,61
BE212,2022-W22,61
BE212,2022-W23,55
BE212,2022-W24,74
BE212,2022-W25,59
BE212,2022-W26,61
BE212,2022-W27,63
BE212,2022-W28,62
BE212,2022-W29,66
BE212,2022-W30,53
BE212,2022-W31,54
BE212,2022-W32,47
BE212,2022-W33,55
BE212,2022-W34,79
BE212,2022-W35,71
BE212,2022-W36,77
BE212,2022-W37,54
BE212,2022-W38,65
BE212,2022-W39,68
BE212,2022-W40,61
BE212,2022-W41,73
BE212,2022-W42,58
BE212,2022-W43,70
BE212,2022-W44,68
BE212,2022-W45,59
BE212,2022-W46,58
BE212,2022-W47,73
BE212,2022-W48,64
BE212,2022-W49,84
BE212,2022-W50,60
BE212,2022-W51,93
BE212,2022-W52,95
BE212,2023-W01,90
BE212,2023-W02,95
BE212,2023-W03,70
BE212,2023-W04,66
BE212,2023-W05,91
BE212,2023-W06,69
BE212,2023-W07,81
BE212,2023-W08,62
BE212,2023-W09,76
BE212,2023-W10,69
BE212,2023-W11,64
BE212,2023-W12,74
BE212,2023-W13,64
BE212,2023-W14,69
BE212,2023-W15,63
BE212,2023-W16,67
BE212,2023-W17,47
BE212,2023-W18,69
BE212,2023-W19,63
BE212,2023-W20,49
BE212,2023-W21,52
BE212,2023-W22,41
BE212,2023-W23,53
BE212,2023-W24,80
BE212,2023-W25,57
BE212,2023-W26,63
BE212,2023-W27,63
BE212,2023-W28,52
BE212,2023-W29,53
BE212,2023-W30,64
BE212,2023-W31,54
BE212,2023-W32,63
BE212,2023-W33,67
BE212,2023-W34,50
BE212,2023-W35,61
BE212,2023-W36,58
BE212,2023-W37,80
BE212,2023-W38,60
BE212,2023-W39,54
BE212,2023-W40,54
BE212,2023-W41,75
BE212,2023-W42,55
BE212,2023-W43,39
BE212,2023-W44,66
BE212,2023-W45,68
BE212,2023-W46,61
BE212,2023-W47,63
BE212,2023-W48,68
BE212,2023-W49,73
BE212,2023-W50,81
BE212,2023-W51,71
BE212,2023-W52,59
BE212,2024-W01,61
BE212,2024-W02,83
BE212,2024-W03,74
BE212,2024-W04,88
BE212,2024-W05,69
BE212,2024-W06,79
BE212,2024-W07,54
BE212,2024-W08,71
BE212,2024-W09,62
BE212,2024-W10,67
BE212,2024-W11,75
BE212,2024-W12,65
BE212,2024-W13,69
BE212,2024-W14,71
BE212,2024-W15,69
BE212,2024-W16,65
BE212,2024-W17,82
BE212,2024-W18,76
BE212,2024-W19,66
BE212,2024-W20,62
BE212,2024-W21,52
BE212,2024-W22,62
BE212,2024-W23,59
BE212,2024-W24,67
BE212,2024-W25,80
BE212,2024-W26,65
BE212,2024-W27,63
BE212,2024-W28,65
BE212,2024-W29,61
BE212,2024-W30,75
BE212,2024-W31,59
BE212,2024-W32,48
BE212,2024-W33,60
BE212,2024-W34,63
BE212,2024-W35,43
BE212,2024-W36,55
BE212,2024-W37,61
BE212,2024-W38,60
BE212,2024-W39,67
BE212,2024-W40,52
BE212,2024-W41,71
BE212,2024-W42,71
BE212,2024-W43,68
BE212,2024-W44,64
BE212,2024-W45,71
BE212,2024-W46,82
BE212,2024-W47,75
BE212,2024-W48,60
BE212,2024-W49,74
BE212,2024-W50,57
BE212,2024-W51,62
BE212,2024-W52,67
BE213,2022-W01,81
BE213,2022-W02,75
BE213,2022-W03,95
BE213,2022-W04,75
BE213,2022-W05,116
BE213,2022-W06,86
BE213,2022-W07,104
BE213,2022-W08,88
BE213,2022-W09,86
BE213,2022-W10,103
BE213,2022-W11,111
BE213,2022-W12,101
BE213,2022-W13,88
BE213,2022-W14,110
BE213,2022-W15,83
BE213,2022-W16,80
BE213,2022-W17,93
BE213,2022-W18,79
BE213,2022-W19,90
BE213,2022-W20,88
BE213,2022-W21,73
BE213,2022-W22,65
BE213,2022-W23,89
BE213,2022-W24,72
BE213,2022-W25,84
BE213,2022-W26,93
BE213,2022-W27,77
BE213,2022-W28,66
BE213,2022-W29,71
BE213,2022-W30,72
BE213,2022-W31,69
BE213,2022-W32,82
BE213,2022-W33,93
BE213,2022-W34,90
BE213,2022-W35,77
BE213,2022-W36,83
BE213,2022-W37,68
BE213,2022-W38,93
