location,date,mort
BE100,2015-09-03,17
BE100,2015-09-04,28
BE100,2015-09-05,21
BE100,2015-09-06,25
BE100,2015-09-07,27
BE100,2015-09-08,20
BE100,2015-09-09,23
BE100,2015-09-10,21
BE100,2015-09-11,20
BE100,2015-09-12,25
BE100,2015-09-13,13
BE100,2015-09-14,25
BE100,2015-09-15,18
BE100,2015-09-16,25
BE100,2015-09-17,28
BE100,2015-09-18,27
BE100,2015-09-19,14
BE100,2015-09-20,18
BE100,2015-09-21,31
BE100,2015-09-22,16
BE100,2015-09-23,20
BE100,2015-09-24,23
BE100,2015-09-25,23
BE100,2015-09-26,26
BE100,2015-09-27,21
BE100,2015-09-28,26
BE100,2015-09-29,21
BE100,2015-09-30,25
BE100,2015-10-01,29
BE100,2015-10-02,32
BE100,2015-10-03,25
BE100,2015-10-04,18
BE100,2015-10-05,17
BE100,2015-10-06,31
BE100,2015-10-07,21
BE100,2015-10-08,30
BE100,2015-10-09,29
BE100,2015-10-10,30
BE100,2015-10-11,24
BE100,2015-10-12,18
BE100,2015-10-13,33
BE100,2015-10-14,25
BE100,2015-10-15,19
BE100,2015-10-16,24
BE100,2015-10-17,25
BE100,2015-10-18,20
BE100,2015-10-19,26
BE100,2015-10-20,28
BE100,2015-10-21,19
BE100,2015-10-22,25
BE100,2015-10-23,29
BE100,2015-10-24,21
BE100,2015-10-25,29
BE100,2015-10-26,21
BE100,2015-10-27,25
BE100,2015-10-28,23
BE100,2015-10-29,33
BE100,2015-10-30,23
BE100,2015-10-31,21
BE100,2015-11-01,19
BE100,2015-11-02,23
BE100,2015-11-03,27
BE100,2015-11-04,22
BE100,2015-11-05,22
BE100,2015-11-06,23
BE100,2015-11-07,20
BE100,2015-11-08,26
BE100,2015-11-09,21
BE100,2015-11-10,23
BE100,2015-11-11,23
BE100,2015-11-12,27
BE100,2015-11-13,30
BE100,2015-11-14,25
BE100,2015-11-15,20
BE100,2015-11-16,31
BE100,2015-11-17,24
BE100,2015-11-18,28
BE100,2015-11-19,34
BE100,2015-11-20,27
BE100,2015-11-21,31
BE100,2015-11-22,18
BE100,2015-11-23,24
BE100,2015-11-24,39
BE100,2015-11-25,25
BE100,2015-11-26,20
BE100,2015-11-27,23
BE100,2015-11-28,30
BE100,2015-11-29,15
BE100,2015-11-30,18
BE100,2015-12-01,15
BE100,2015-12-02,20
BE100,2015-12-03,22
BE100,2015-12-04,27
BE100,2015-12-05,26
BE100,2015-12-06,19
BE100,2015-12-07,33
BE100,2015-12-08,25
BE100,2015-12-09,23
BE100,2015-12-10,24
BE100,2015-12-11,25
BE100,2015-12-12,25
BE100,2015-12-13,21
BE100,2015-12-14,25
BE100,2015-12-15,34
BE100,2015-12-16,15
BE100,2015-12-17,28
BE100,2015-12-18,22
BE100,2015-12-19,17
BE100,2015-12-20,15
BE100,2015-12-21,22
BE100,2015-12-22,25
BE100,2015-12-23,22
BE100,2015-12-24,16
BE100,2015-12-25,18
BE100,2015-12-26,21
BE100,2015-12-27,26
BE100,2015-12-28,14
BE100,2015-12-29,31
BE100,2015-12-30,22
BE100,2015-12-31,26
BE100,2016-01-01,24
BE100,2016-01-02,19
BE100,2016-01-03,27
BE100,2016-01-04,22
BE100,2016-01-05,26
BE100,2016-01-06,27
BE100,2016-01-07,23
BE100,2016-01-08,17
BE100,2016-01-09,29
BE100,2016-01-10,26
BE100,2016-01-11,32
BE100,2016-01-12,31
BE100,2016-01-13,24
BE100,2016-01-14,21
BE100,2016-01-15,32
BE100,2016-01-16,25
BE100,2016-01-17,26
BE100,2016-01-18,22
BE100,2016-01-19,28
BE100,2016-01-20,18
BE100,2016-01-21,29
BE100,2016-01-22,33
BE100,2016-01-23,33
